import time: self [us] | cumulative | imported package
import time:       467 |        736 |                   asyncio.sslproto
import time:       360 |        360 |                   asyncio.tasks
import time:       952 |       4896 |                 asyncio.base_events
import time:       364 |        364 |                 asyncio.locks
import time:       158 |        158 |                 asyncio.runners
import time:       249 |        249 |                 asyncio.queues
import time:       386 |        386 |                 asyncio.streams
import time:       306 |        306 |                 asyncio.subprocess
import time:       251 |        251 |                   asyncio.base_subprocess
import time:       896 |        896 |                   asyncio.selector_events
import time:       694 |       1840 |                 asyncio.unix_events
import time:       334 |       8530 |               asyncio
import time:       139 |       8668 |             loguru._asyncio_loop
import time:       136 |        136 |             loguru._colorama
import time:       119 |        119 |             loguru._filters
import time:       417 |        417 |               sysconfig
import time:       308 |        724 |             loguru._better_exceptions
import time:       678 |        678 |             loguru._colorizer
import time:       135 |        135 |             loguru._contextvars
import time:       771 |        771 |             loguru._datetime
import time:       194 |        194 |             loguru._error_interceptor
import time:       357 |        357 |               glob
import time:       179 |        179 |               loguru._string_parsers
import time:       142 |        142 |               loguru._ctime_functions
import time:       430 |       1106 |             loguru._file_sink
import time:       142 |        142 |             loguru._get_frame
import time:       133 |        133 |               loguru._locks_machinery
import time:       257 |        390 |             loguru._handler
import time:       312 |        312 |             loguru._recattrs
import time:       209 |        209 |             loguru._simple_sinks
import time:       938 |      16195 |           loguru._logger
import time:       342 |        342 |           _sysconfigdata_m_linux_x86_64-linux-gnu
import time:      2790 |      19581 |         loguru
import time:      1869 |      21450 |       daft.context
import time:       161 |        161 |           daft.logical
import time:      2875 |       2875 |               polars.polars
import time:       108 |        108 |                 hypothesis
import time:       226 |        226 |                   polars.internals.anonymous_scan
import time:       907 |        907 |                           html.entities
import time:       520 |       1427 |                         html
import time:       257 |       1684 |                       polars._html
import time:       986 |        986 |                       polars.datatypes
import time:       197 |        197 |                       polars.exceptions
import time:       172 |        172 |                         polars.datatypes_constructor
import time:       420 |        420 |                             pkgutil
import time:       379 |        798 |                           backports
import time:       274 |        274 |                             backports.zoneinfo._tzpath
import time:       199 |        199 |                             backports.zoneinfo._common
import time:       116 |        116 |                             backports.zoneinfo._version
import time:       249 |        249 |                             backports.zoneinfo._czoneinfo
import time:       279 |       1116 |                           backports.zoneinfo
import time:       319 |       2231 |                         polars.utils
import time:       436 |       2839 |                       polars.internals.construction
import time:       412 |        412 |                           polars.internals.type_aliases
import time:       289 |        700 |                         polars.internals.dataframe.pivot
import time:       492 |       1191 |                       polars.internals.dataframe.groupby
import time:       302 |        302 |                       polars.internals.slice
import time:      1395 |       8590 |                     polars.internals.dataframe.frame
import time:       148 |       8738 |                   polars.internals.dataframe
import time:       338 |        338 |                       polars.internals.expr.categorical
import time:       470 |        470 |                       polars.internals.expr.datetime
import time:       262 |        262 |                       polars.internals.expr.list
import time:       213 |        213 |                       polars.internals.expr.meta
import time:       340 |        340 |                       polars.internals.expr.string
import time:       180 |        180 |                       polars.internals.expr.struct
import time:      1896 |       3697 |                     polars.internals.expr.expr
import time:       161 |       3858 |                   polars.internals.expr
import time:       269 |        269 |                   polars.internals.functions
import time:       216 |        216 |                       email
import time:       950 |        950 |                         http
import time:       437 |        437 |                             email.errors
import time:       372 |        372 |                                 email.quoprimime
import time:       152 |        152 |                                 email.base64mime
import time:       175 |        175 |                                     quopri
import time:       149 |        323 |                                   email.encoders
import time:       209 |        532 |                                 email.charset
import time:       775 |       1829 |                               email.header
import time:       244 |        244 |                                 email._parseaddr
import time:       557 |        801 |                               email.utils
import time:       348 |       2977 |                             email._policybase
import time:       691 |       4103 |                           email.feedparser
import time:       284 |       4387 |                         email.parser
import time:       203 |        203 |                           uu
import time:       306 |        306 |                           email._encoded_words
import time:       154 |        154 |                           email.iterators
import time:       623 |       1285 |                         email.message
import time:      1107 |       7727 |                       http.client
import time:       211 |        211 |                         urllib.response
import time:       233 |        443 |                       urllib.error
import time:      1514 |       9899 |                     urllib.request
import time:        60 |         60 |                       importlib.metadata
import time:       372 |        372 |                         zipp
import time:       180 |        180 |                             importlib_metadata._functools
import time:       202 |        382 |                           importlib_metadata._text
import time:       293 |        675 |                         importlib_metadata._adapters
import time:       191 |        191 |                           importlib_metadata._compat
import time:       401 |        592 |                         importlib_metadata._meta
import time:       167 |        167 |                         importlib_metadata._py39compat
import time:       275 |        275 |                         importlib_metadata._collections
import time:       135 |        135 |                         importlib_metadata._itertools
import time:      1340 |       3553 |                       importlib_metadata
import time:       197 |        197 |                       fsspec._version
import time:       337 |        337 |                       fsspec.caching
import time:       218 |        218 |                       fsspec.callbacks
import time:       242 |        242 |                         fsspec.utils
import time:      1946 |       1946 |                             configparser
import time:       240 |       2186 |                           fsspec.config
import time:       182 |        182 |                           fsspec.dircache
import time:       197 |        197 |                           fsspec.transaction
import time:       663 |       3226 |                         fsspec.spec
import time:       110 |        110 |                         isal
import time:        90 |         90 |                         lzmaffi
import time:        98 |         98 |                         snappy
import time:        85 |         85 |                           lz4
import time:        24 |        108 |                         lz4.frame
import time:        83 |         83 |                         zstandard
import time:       320 |       4275 |                       fsspec.compression
import time:       231 |        231 |                         fsspec.registry
import time:       395 |        626 |                       fsspec.core
import time:       169 |        169 |                       fsspec.exceptions
import time:       228 |        228 |                       fsspec.mapping
import time:     13682 |      23342 |                     fsspec
import time:       224 |      33463 |                   polars.internals.io
import time:       478 |        478 |                   polars.internals.lazy_functions
import time:       167 |        167 |                         polars.string_cache
import time:       245 |        411 |                       polars.cfg
import time:       260 |        260 |                       polars.internals.lazyframe.groupby
import time:       754 |       1423 |                     polars.internals.lazyframe.frame
import time:       174 |       1597 |                   polars.internals.lazyframe
import time:       182 |        182 |                         polars.internals.series.utils
import time:       298 |        479 |                       polars.internals.series.categorical
import time:       949 |        949 |                       polars.internals.series.datetime
import time:       834 |        834 |                       polars.internals.series.list
import time:       847 |        847 |                       polars.internals.series.string
import time:       277 |        277 |                       polars.internals.series.struct
import time:       194 |        194 |                       polars.internals.series._numpy
import time:      2655 |       6231 |                     polars.internals.series.series
import time:       191 |       6422 |                   polars.internals.series
import time:       239 |        239 |                   polars.internals.whenthen
import time:       300 |      55584 |                 polars.internals
import time:       377 |      56069 |               polars.testing
import time:       178 |        178 |               polars.convert
import time:       203 |        203 |                 polars.internals.sql.context
import time:       153 |        356 |               polars.internals.sql
import time:       249 |        249 |                     concurrent.futures.thread
import time:       585 |        834 |                   pyarrow.pandas_compat
import time:       387 |        387 |                   pyarrow._feather
import time:       141 |        141 |                     pyarrow.vendored
import time:       510 |        650 |                   pyarrow.vendored.version
import time:       247 |       2116 |                 pyarrow.feather
import time:       109 |        109 |                 connectorx
import time:       366 |       2590 |               polars.io
import time:       206 |        206 |               polars.show_versions
import time:       493 |      62764 |             polars
import time:       144 |        144 |             daft.errors
import time:       125 |        125 |             daft.execution
import time:       131 |        131 |               daft.filesystem
import time:       122 |        122 |                 daft.runners
import time:      1480 |       1480 |                   daft.types
import time:      2350 |       3829 |                 daft.execution.operators
import time:       145 |        145 |                     daft.internal
import time:       198 |        342 |                   daft.internal.kernels
import time:       341 |        682 |                 daft.internal.kernels.hashing
import time:       108 |        108 |                   backports_abc
import time:       496 |        603 |                 daft.internal.kernels.search_sorted
import time:      1131 |       6366 |               daft.runners.blocks
import time:       278 |       6773 |             daft.execution.url_operators
import time:       399 |        399 |                     pyparsing.util
import time:       565 |        565 |                       pyparsing.unicode
import time:      2169 |       2733 |                     pyparsing.exceptions
import time:       182 |        182 |                     pyparsing.actions
import time:       496 |        496 |                       pyparsing.results
import time:      8667 |       9162 |                     pyparsing.core
import time:      3175 |       3175 |                     pyparsing.helpers
import time:       322 |        322 |                     pyparsing.testing
import time:      5911 |       5911 |                     pyparsing.common
import time:       696 |      22577 |                   pyparsing
import time:       324 |      22900 |                 dot_parser
import time:      1307 |      24207 |               pydot
import time:       279 |      24486 |             daft.internal.treenode
import time:       767 |        767 |             daft.resource_request
import time:       973 |      96029 |           daft.expressions
import time:       401 |      96590 |         daft.logical.schema
import time:       818 |      97408 |       daft.dataframe.schema
import time:      1884 |       1884 |       daft.datasources
import time:       116 |        116 |                 backports_abc
import time:      2890 |       3006 |               pyarrow._dataset
import time:       308 |        308 |               pyarrow._dataset_orc
import time:       333 |       3646 |             pyarrow.dataset
import time:      1869 |       5514 |           daft.runners.partitioning
import time:       548 |       6062 |         daft.logical.map_partition_ops
import time:      2040 |       8101 |       daft.logical.logical_plan
import time:       579 |        579 |         daft.execution.execution_plan
import time:       141 |        141 |             fsspec.implementations
import time:       481 |        621 |           fsspec.implementations.cached
import time:       291 |        291 |                   multidict._abc
import time:       154 |        154 |                       multidict._multidict_base
import time:       319 |        472 |                     multidict._multidict
import time:       166 |        638 |                   multidict._compat
import time:       252 |       1180 |                 multidict
import time:      1146 |       2325 |               aiohttp.hdrs
import time:       190 |        190 |                     attr._compat
import time:       122 |        122 |                       attr._config
import time:       254 |        254 |                         attr.exceptions
import time:       166 |        420 |                       attr.setters
import time:      2389 |       2929 |                     attr._make
import time:       247 |       3366 |                   attr.converters
import time:       157 |        157 |                   attr.filters
import time:      4373 |       4373 |                   attr.validators
import time:       164 |        164 |                   attr._cmp
import time:       175 |        175 |                   attr._funcs
import time:       654 |        654 |                   attr._version_info
import time:       184 |        184 |                   attr._next_gen
import time:       443 |       9513 |                 attr
import time:      1820 |       1820 |                     ipaddress
import time:       162 |        162 |                       idna.package_data
import time:       301 |        301 |                         idna.idnadata
import time:       186 |        186 |                         idna.intranges
import time:       936 |       1422 |                       idna.core
import time:       269 |       1853 |                     idna
import time:       272 |        272 |                       yarl._quoting_c
import time:       167 |        439 |                     yarl._quoting
import time:       575 |       4684 |                   yarl._url
import time:       190 |       4874 |                 yarl
import time:       106 |        106 |                       winreg
import time:       279 |        385 |                     mimetypes
import time:       640 |        640 |                     socketserver
import time:      3747 |       4771 |                   http.server
import time:       590 |        590 |                     aiohttp.typedefs
import time:       402 |        992 |                   aiohttp.http_exceptions
import time:       126 |        126 |                       aiohttp.tcp_helpers
import time:       280 |        405 |                     aiohttp.base_protocol
import time:       288 |        288 |                         shlex
import time:       252 |        539 |                       netrc
import time:       513 |        513 |                       async_timeout
import time:       172 |        172 |                       aiohttp.log
import time:       192 |        192 |                       aiohttp._helpers
import time:      7042 |       8456 |                     aiohttp.helpers
import time:      1548 |       1548 |                         http.cookies
import time:       672 |       2220 |                       aiohttp.abc
import time:       227 |        227 |                       aiohttp._http_writer
import time:       559 |       3004 |                     aiohttp.http_writer
import time:       838 |        838 |                     aiohttp.streams
import time:       108 |        108 |                     brotli
import time:       109 |        109 |                       backports_abc
import time:       542 |        650 |                     aiohttp._http_parser
import time:      1789 |      15248 |                   aiohttp.http_parser
import time:       181 |        181 |                     aiohttp._websocket
import time:      6455 |       6635 |                   aiohttp.http_websocket
import time:       305 |      27949 |                 aiohttp.http
import time:       955 |        955 |                 aiohttp.payload
import time:       821 |        821 |                 aiohttp.client_exceptions
import time:      1132 |       1132 |                   aiohttp.multipart
import time:       239 |        239 |                   aiohttp.formdata
import time:       103 |        103 |                   cchardet
import time:       249 |        249 |                         charset_normalizer.assets
import time:      1177 |       1177 |                         charset_normalizer.constant
import time:       121 |        121 |                             unicodedata2
import time:       219 |        219 |                             _multibytecodec
import time:      1050 |       1389 |                           charset_normalizer.utils
import time:       391 |       1779 |                         charset_normalizer.md
import time:       524 |        524 |                         charset_normalizer.models
import time:       361 |       4088 |                       charset_normalizer.cd
import time:       419 |       4506 |                     charset_normalizer.api
import time:       298 |        298 |                     charset_normalizer.legacy
import time:       126 |        126 |                     charset_normalizer.version
import time:       266 |       5195 |                   charset_normalizer
import time:      3225 |       9892 |                 aiohttp.client_reqrep
import time:       272 |        272 |                 aiohttp.client_ws
import time:       300 |        300 |                   aiohttp.client_proto
import time:       163 |        163 |                   aiohttp.locks
import time:       100 |        100 |                     aiodns
import time:       329 |        429 |                   aiohttp.resolver
import time:      1054 |       1944 |                 aiohttp.connector
import time:      1269 |       1269 |                 aiohttp.cookiejar
import time:       278 |        278 |                       frozenlist._frozenlist
import time:       357 |        635 |                     frozenlist
import time:       217 |        852 |                   aiosignal
import time:      7992 |       8843 |                 aiohttp.tracing
import time:      2246 |      68576 |               aiohttp.client
import time:       289 |        289 |               aiohttp.payload_streamer
import time:       102 |        102 |                   gunicorn
import time:        34 |        136 |                 gunicorn.config
import time:       207 |        342 |               aiohttp.worker
import time:       394 |      71925 |             aiohttp
import time:       128 |        128 |                         urllib3.packages
import time:       987 |       1114 |                       urllib3.packages.six
import time:        75 |       1189 |                     urllib3.packages.six.moves
import time:        66 |       1255 |                   urllib3.packages.six.moves.http_client
import time:       774 |       2028 |                 urllib3.exceptions
import time:       146 |        146 |                 urllib3._version
import time:       126 |        126 |                           urllib3.contrib
import time:       169 |        169 |                           urllib3.contrib._appengine_environ
import time:       169 |        169 |                           urllib3.util.wait
import time:       394 |        856 |                         urllib3.util.connection
import time:       100 |        100 |                           brotlicffi
import time:        89 |         89 |                           brotli
import time:       185 |        374 |                         urllib3.util.request
import time:       142 |        142 |                         urllib3.util.response
import time:       405 |        405 |                         urllib3.util.retry
import time:     10007 |      10007 |                           urllib3.util.url
import time:       247 |        247 |                           urllib3.util.ssltransport
import time:       276 |      10529 |                         urllib3.util.ssl_
import time:       180 |        180 |                         urllib3.util.timeout
import time:       243 |      12726 |                       urllib3.util
import time:       154 |      12879 |                     urllib3.util.proxy
import time:       274 |        274 |                     urllib3._collections
import time:       171 |        171 |                     urllib3.util.ssl_match_hostname
import time:       469 |      13791 |                   urllib3.connection
import time:       241 |        241 |                       urllib3.fields
import time:       188 |        429 |                     urllib3.filepost
import time:        41 |         41 |                       urllib3.packages.six.moves.urllib
import time:        57 |         98 |                     urllib3.packages.six.moves.urllib.parse
import time:       192 |        718 |                   urllib3.request
import time:       103 |        103 |                     brotlicffi
import time:        88 |         88 |                     brotli
import time:       515 |        706 |                   urllib3.response
import time:       164 |        164 |                   urllib3.util.queue
import time:       447 |      15824 |                 urllib3.connectionpool
import time:       622 |        622 |                 urllib3.poolmanager
import time:       108 |        108 |                 urllib3_secure_extra
import time:       376 |      19100 |               urllib3
import time:        95 |         95 |                   chardet
import time:       104 |        104 |                   simplejson
import time:      4050 |       4050 |                   http.cookiejar
import time:       248 |       4495 |                 requests.compat
import time:       598 |       5093 |               requests.exceptions
import time:       117 |        117 |               chardet
import time:        96 |         96 |                 chardet
import time:      1048 |       1143 |               requests.packages
import time:       424 |        424 |                       importlib.resources
import time:       194 |        617 |                     certifi.core
import time:       160 |        776 |                   certifi
import time:       149 |        925 |                 requests.certs
import time:       138 |        138 |                 requests.__version__
import time:       519 |        519 |                 requests._internal_utils
import time:       337 |        337 |                 requests.cookies
import time:       323 |        323 |                 requests.structures
import time:       646 |       2885 |               requests.utils
import time:       269 |        269 |                     requests.auth
import time:       416 |        416 |                         stringprep
import time:       286 |        701 |                       encodings.idna
import time:       161 |        161 |                       requests.hooks
import time:       431 |        431 |                       requests.status_codes
import time:       502 |       1794 |                     requests.models
import time:       103 |        103 |                       socks
import time:       220 |        323 |                     urllib3.contrib.socks
import time:       347 |       2731 |                   requests.adapters
import time:       306 |       3037 |                 requests.sessions
import time:       170 |       3206 |               requests.api
import time:       376 |      31917 |             requests
import time:       230 |        230 |               resource
import time:       559 |        789 |             fsspec.asyn
import time:      1080 |     105709 |           fsspec.implementations.http
import time:       395 |        395 |           daft.runners.shuffle_ops
import time:       449 |     107172 |         daft.execution.logical_op_runners
import time:       146 |        146 |               xml
import time:       189 |        335 |             xml.etree
import time:       524 |        524 |             xml.etree.ElementPath
import time:       294 |        294 |               pyexpat
import time:       339 |        633 |             _elementtree
import time:       720 |       2211 |           xml.etree.ElementTree
import time:       148 |       2358 |         daft.internal.gpu
import time:       295 |        295 |           daft.internal.rule
import time:       992 |       1287 |         daft.internal.rule_runner
import time:       442 |        442 |         daft.logical.optimizer
import time:       154 |        154 |         daft.runners.profiler
import time:       155 |        155 |         daft.runners.runner
import time:       845 |     112989 |       daft.runners.pyrunner
import time:       292 |        292 |                   wcwidth.table_wide
import time:       705 |        705 |                   wcwidth.table_zero
import time:       168 |        168 |                   wcwidth.unicode_versions
import time:       304 |       1467 |                 wcwidth.wcwidth
import time:       204 |       1671 |               wcwidth
import time:      2326 |       3996 |             tabulate
import time:       247 |        247 |                 PIL._version
import time:       269 |        516 |               PIL
import time:       129 |        129 |                 defusedxml
import time:        59 |        187 |               defusedxml.ElementTree
import time:       193 |        193 |               PIL.ImageMode
import time:       558 |        558 |               PIL.TiffTags
import time:       160 |        160 |               PIL._binary
import time:       139 |        139 |               PIL._deprecate
import time:       193 |        193 |               PIL._util
import time:      1007 |       1007 |               PIL._imaging
import time:       122 |        122 |               cffi
import time:     19018 |      22089 |             PIL.Image
import time:       215 |      26299 |           daft.viz.repr_html
import time:       899 |      27197 |         daft.viz.dataframe_display
import time:       185 |      27382 |       daft.viz
import time:      1185 |     683024 |     daft.dataframe.dataframe
import time:       250 |     683273 |   daft.dataframe
import time:       160 |        160 |   daft.logging
import time:       234 |        234 |   daft.udf
import time:      3751 |     687625 | daft
