import time: self [us] | cumulative | imported package
import time:       615 |       7881 |             numpy.lib.index_tricks
import time:      1131 |       1131 |             numpy.lib.nanfunctions
import time:      1049 |       1049 |             numpy.lib.shape_base
import time:      1043 |       1043 |             numpy.lib.polynomial
import time:      1177 |       1177 |             numpy.lib.utils
import time:       725 |        725 |             numpy.lib.arraysetops
import time:       260 |        260 |               numpy.lib.format
import time:       248 |        248 |               numpy.lib._datasource
import time:       372 |        372 |               numpy.lib._iotools
import time:      1104 |       1982 |             numpy.lib.npyio
import time:       196 |        196 |             numpy.lib.arrayterator
import time:       299 |        299 |             numpy.lib.arraypad
import time:       178 |        178 |             numpy.lib._version
import time:       528 |      18602 |           numpy.lib
import time:       152 |        152 |               numpy.fft._pocketfft_internal
import time:      1167 |       1318 |             numpy.fft._pocketfft
import time:       347 |        347 |             numpy.fft.helper
import time:       259 |       1924 |           numpy.fft
import time:       263 |        263 |               numpy.polynomial.polyutils
import time:       436 |        436 |               numpy.polynomial._polybase
import time:       491 |       1189 |             numpy.polynomial.polynomial
import time:       366 |        366 |             numpy.polynomial.chebyshev
import time:       307 |        307 |             numpy.polynomial.legendre
import time:       732 |        732 |             numpy.polynomial.hermite
import time:       315 |        315 |             numpy.polynomial.hermite_e
import time:       302 |        302 |             numpy.polynomial.laguerre
import time:       284 |       3492 |           numpy.polynomial
import time:       147 |        147 |                     backports_abc
import time:       558 |        704 |                   numpy.random._common
import time:       280 |        280 |                       binascii
import time:       273 |        552 |                     base64
import time:       481 |        481 |                       _hashlib
import time:       205 |        205 |                         _blake2
import time:       222 |        222 |                         _sha3
import time:       364 |        790 |                       hashlib
import time:       255 |       1525 |                     hmac
import time:       243 |        243 |                         _bisect
import time:       172 |        415 |                       bisect
import time:       185 |        185 |                       _random
import time:       404 |       1003 |                     random
import time:       203 |       3282 |                   secrets
import time:       512 |       4497 |                 numpy.random.bit_generator
import time:       261 |        261 |                 numpy.random._bounded_integers
import time:       223 |        223 |                 numpy.random._mt19937
import time:       888 |       5867 |               numpy.random.mtrand
import time:       234 |        234 |               numpy.random._philox
import time:       224 |        224 |               numpy.random._pcg64
import time:       201 |        201 |               numpy.random._sfc64
import time:       623 |        623 |               numpy.random._generator
import time:       334 |       7480 |             numpy.random._pickle
import time:       217 |       7696 |           numpy.random
import time:       414 |        414 |           numpy.ctypeslib
import time:      2504 |       2504 |             numpy.ma.core
import time:      1148 |       1148 |             numpy.ma.extras
import time:       311 |       3962 |           numpy.ma
import time:      2119 |     135466 |         numpy
import time:       279 |        279 |           pytz.exceptions
import time:       288 |        288 |           pytz.lazy
import time:       254 |        254 |           pytz.tzinfo
import time:       175 |        175 |           pytz.tzfile
import time:       819 |       1814 |         pytz
import time:       164 |        164 |           dateutil._version
import time:       205 |        369 |         dateutil
import time:       193 |        193 |             mmap
import time:      2331 |       2524 |           pandas._typing
import time:       688 |        688 |                                 pandas._libs.tslibs.dtypes
import time:       219 |        219 |                                   pandas._libs.tslibs.base
import time:       247 |        247 |                                     pandas._libs.tslibs.np_datetime
import time:       452 |        699 |                                   pandas._libs.tslibs.nattype
import time:       827 |        827 |                                         six
import time:        63 |         63 |                                         six.moves
import time:       247 |        247 |                                         dateutil.tz._common
import time:       201 |        201 |                                         dateutil.tz._factories
import time:        31 |         31 |                                           six.moves.winreg
import time:       224 |        254 |                                         dateutil.tz.win
import time:      1011 |       2602 |                                       dateutil.tz.tz
import time:       225 |       2827 |                                     dateutil.tz
import time:       420 |       3246 |                                   pandas._libs.tslibs.timezones
import time:       202 |        202 |                                     pandas._libs.tslibs.ccalendar
import time:       389 |        590 |                                   pandas._libs.tslibs.tzconversion
import time:       841 |        841 |                                           locale
import time:       655 |        655 |                                               pandas._config.config
import time:       277 |        277 |                                               pandas._config.dates
import time:       173 |        173 |                                               pandas._config.display
import time:       246 |       1349 |                                             pandas._config
import time:       188 |       1537 |                                           pandas._config.localization
import time:       118 |        118 |                                             backports_abc
import time:       548 |        548 |                                             calendar
import time:      1072 |       1737 |                                           pandas._libs.tslibs.strptime
import time:       413 |       4527 |                                         pandas._libs.tslibs.fields
import time:       703 |       5229 |                                       pandas._libs.tslibs.timedeltas
import time:        99 |         99 |                                         backports_abc
import time:       718 |        816 |                                       pandas._libs.tslibs.timestamps
import time:       111 |        111 |                                       backports_abc
import time:       139 |        139 |                                       dateutil.easter
import time:       161 |        161 |                                         dateutil._common
import time:       334 |        495 |                                       dateutil.relativedelta
import time:       211 |        211 |                                       pandas._libs.properties
import time:      1507 |       8505 |                                     pandas._libs.tslibs.offsets
import time:       102 |        102 |                                     backports_abc
import time:       133 |        133 |                                           _string
import time:       757 |        889 |                                         string
import time:       694 |        694 |                                           _decimal
import time:       190 |        884 |                                         decimal
import time:       739 |       2511 |                                       dateutil.parser._parser
import time:       804 |        804 |                                       dateutil.parser.isoparser
import time:       261 |       3575 |                                     dateutil.parser
import time:       629 |      12810 |                                   pandas._libs.tslibs.parsing
import time:       467 |      18028 |                                 pandas._libs.tslibs.conversion
import time:       490 |        490 |                                 pandas._libs.tslibs.period
import time:       322 |        322 |                                 pandas._libs.tslibs.vectorized
import time:       256 |      19781 |                               pandas._libs.tslibs
import time:        27 |      19808 |                             pandas._libs.tslibs.nattype
import time:       187 |        187 |                             pandas._libs.ops_dispatch
import time:       342 |      20336 |                           pandas._libs.missing
import time:       522 |      20857 |                         pandas._libs.hashtable
import time:       646 |        646 |                         pandas._libs.algos
import time:       659 |      22162 |                       pandas._libs.interval
import time:       175 |      22336 |                     pandas._libs
import time:        27 |      22363 |                   pandas._libs.properties
import time:       348 |      22710 |                 pandas.util._decorators
import time:       144 |        144 |                     pandas.core
import time:       214 |        358 |                   pandas.core.util
import time:       302 |        302 |                     pandas._libs.tslib
import time:       728 |       1029 |                   pandas._libs.lib
import time:       262 |        262 |                   pandas._libs.hashing
import time:       139 |        139 |                     pandas.core.dtypes
import time:       388 |        388 |                       pandas.errors
import time:       487 |        487 |                       pandas.core.dtypes.generic
import time:       255 |       1129 |                     pandas.core.dtypes.base
import time:       219 |        219 |                       pandas.core.dtypes.inference
import time:      1191 |       1409 |                     pandas.core.dtypes.dtypes
import time:       432 |       3108 |                   pandas.core.dtypes.common
